ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
808483;529;JUROVSKI DOL;SVETI JURIJ V SLOVENSKIH GORICAH;455;7;;;1;JUROVSKI DOL;JUROVSKI DOL;115;A;7;2;2022;1;;1;66,8;1/1;;;;;0;;;2 - stanovanje;nadstropje;;66,8;58,4; bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
809453;2101;RUPA;KRANJ;168;20;;;1;KRANJ;ZOISOVA ULICA;48;;20;2;1968;1;;;74,5;1/1;;;;;0;;;2 - stanovanje;nadstropje;;74,5;69,4; bivalni prostor | klet | odprta terasa, balkon, loža;;
812342;105;MURSKA SOBOTA;MURSKA SOBOTA;1888;516;;;1;MURSKA SOBOTA;KARDOŠEVA ULICA;4;;516;14;1976;1;;;2,4;1/1;;;;;0;;;33 - klet;klet;;2,4;2,4; klet;;
811998;1737;TABOR;LJUBLJANA;309;2;;;1;LJUBLJANA;SLOMŠKOVA ULICA;8;;2;6;1880;1;;;37,1;1/8;;;;;0;;;9 - poslovni del stavbe;pritličje;;37,1;37,1; poslovni prostor;;
811995;1162;GOLOBINJEK;ŠENTJUR;400;1;;;1;DOROPOLJE;DOROPOLJE;25;C;;1;1982;1;;;86;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;klet;;86;63,1; bivalni prostor | klet | odprta terasa, balkon, loža;;
809063;1723;VIČ;LJUBLJANA;748;1;;;1;LJUBLJANA;CESTA 27. APRILA;26;;;1;1927;1;;;415;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;415;325; bivalni prostor | klet | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
812951;680;TEZNO;MARIBOR;934;2;;;1;MARIBOR;RUSKA ULICA;6;;2;8;1994;1;;;261;19/100;;;;;0;;;9 - poslovni del stavbe;;;;;-;;
811400;1750;ŠMARTNO POD ŠMARNO GORO;LJUBLJANA;176;1;;;1;LJUBLJANA;ULICA ŽELJKA TONIJA;18;;;1;2008;1;;;399,1;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;399,1;252; bivalni prostor | klet;;
812367;658;KOROŠKA VRATA;MARIBOR;2164;234;;;1;MARIBOR;KOROŠKA CESTA;113;C;;3;2002;1;;;12,5;1/1;;;;;0;;;16 - garažno parkirno mesto;pritličje;;12,5;12,5; garažni parkirni prostor;;
809700;1058;ROŽNI VRH;CELJE;120;1;;;1;ROŽNI VRH;ROŽNI VRH;19;B;;1;2003;1;;;73,5;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;nadstropje;;73,5;36; bivalni prostor | klet;;
